statistic,p.value,unique_id
1.6501885463746728,0.039603960396039604,247.96875_31.65625
1.6703827619526523,0.009900990099009901,247.96875_31.71875
2.107904894683858,0.009900990099009901,247.96875_31.78125
1.9689343587231585,0.009900990099009901,247.96875_31.84375
1.598377005694778,0.0297029702970297,247.96875_31.90625
1.8353804905260231,0.009900990099009901,247.96875_31.96875
1.3337008432584874,0.12871287128712872,247.96875_32.03125
1.8109984269709085,0.009900990099009901,247.96875_32.09375
2.3068696193151244,0.009900990099009901,247.96875_32.15625
2.9658965850466683,0.009900990099009901,247.96875_32.21875
